,Artist,Compound_Score,Genre,Lyric,Mood,New_Score,Tempo,Title,Top_Word
20,Ed Sheeran,0.9993,['Pop'],"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking fast and then we talk slow

You come over and start up a conversation with just me
And trust me I'll give it a chance now
Take my hand, stop, put van the man on the jukebox
And then we start to dance
And now I'm singing like

Girl you know I want your love
Your love was handmade for somebody like me
Come on now follow my lead
I may be crazy, don't mind me

Say boy, let's not talk too much
Grab on my waist and put that body on me
Come on now follow my lead
Come, come on now follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body

Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
Well I'm in love with your body

(Oh I, oh I, oh I, oh I)
I'm in love with your body
(Oh I, oh I, oh I, oh I)
I'm in love with your body
(Oh I, oh I, oh I, oh I)
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

One week in we let the story begin
We're going out on our first date
You and me are thrifty, so go all you can eat
Fill up your bag and I fill up a plate

We talk for hours and hours about the sweet and the sour
And how your family is doing okay
Leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play
And I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now follow my lead
I may be crazy, don't mind me

Say boy, let's not talk too much
Grab on my waist and put that body on me
Come on now follow my lead
Come, come on now follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body

Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
Well I'm in love with your body

(Oh I, oh I, oh I, oh I)
I'm in love with your body
(Oh I, oh I, oh I, oh I)
I'm in love with your body
(Oh I, oh I, oh I, oh I)
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

Come on be my baby, come on
Come on be my baby, come on
Come on be my baby, come on
Come on be my baby, come on

Come on be my baby, come on
Come on be my baby, come on
Come on be my baby, come on
Come on be my baby, come on

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body

Last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body

(Come on be my baby, come on)
(Come on be my baby, come on)
I'm in love with your body
(Come on be my baby, come on)
(Come on be my baby, come on)
I'm in love with your body

(Come on be my baby, come on)
(Come on be my baby, come on)
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you",['Energizing'],99.97,['Medium Tempo'],Shape Of You,"[('come', 37), ('love', 25), ('body', 17)]"
21,G-Eazy Featuring A$AP Rocky & Cardi B,-0.9991,['Urban'],"If I hit it one time, I'ma pipe her
If I hit it two times, then I like her
If I fuck three times, I'ma wife her
It ain't safe for the black or the white girls
It ain't safe, it ain't safe
It ain't safe, it ain't safe
Tell your man pipe up, nigga, pipe up
Hunnit bands from the safe
In your face, what'd you say?
Money, dance, turn this shit into a nightclub

Fuck with me and get some money, yeah ay
Fuck with me and get some money (ay)
Fuck with me and get some money (ay)
Fuck with G and get some money

No limit I'm a fucking soldier, ay
Always lit, yeah I'm never sober
It's been three days in a row, your bitch coming over
Told that bitch to kick rock, she act like it's a boulder, ay
'Rari, shopping, let me cop it
Always poppin', hella poppin'
She's a bopper, homie hoppin'
Ain't no stopping, album dropping
Got the city on fire, bitch lying on me like she tired
I might have to fuck around and call Kamaiyah
Ho stirring up the pot, Jambalaya
Young Gerald

If I hit it one time, I'ma pipe her
If I hit it two times, then I like her
If I fuck three times, I'ma wife her
It ain't safe for the black or the white girls
It ain't safe, it ain't safe
It ain't safe, it ain't safe
Tell your man pipe up, nigga, pipe up
Hunnit bands from the safe
In your face, what'd you say?
Money, dance, turn this shit into a nightclub

Fuck him, then I get some money
Fuck him, then I get some money
Fuck him, then I get some money
Fuck him, then I get some money

I need tongue, I need face
Give me brain, concentrate
Apple Phone, Prada Case
Kill a weave, rock a lace
Fuck the Moe, buy the ACE
Fuck the Ghost, drive the Wraith
Get some money, flood the rollie
Fuck the rollie, patty face
My career takin' off, these hoes jogging in place
Swear these hoes run they mouth
How these hoes out of shape?
Can you stop with all the subs? Bitch, I ain't Jared
If you really want some smoke, you can pull up, you can get it
Grab a hand full of braids, make a nigga eat me out
Put a white boy on Sazón, I might turn G-Eazy out
Keep it G from the club till the end, from the spot
You know me, Cardi B, pussy poppin' on the charts

If I hit it one time, I'ma pipe her
If I hit it two times, then I like her
If I fuck three times, I'ma wife her
It ain't safe for the black or the white girls
It ain't safe, it ain't safe
It ain't safe, it ain't safe
Tell your man pipe up, nigga, pipe up
Hunnit bands from the safe
In your face, what'd you say?
Money, dance, turn this shit into a nightclub

Fuck with me and get some money, yeah ay
Fuck with me and get some money (ay)
Fuck with me and get some money (ay)
Fuck with G and get some money",['Defiant'],0.03,['Medium Tempo'],No Limit,"[('fuck', 19), ('safe', 18), ('ain', 17)]"
22,Khalid,-0.9985,['Urban'],"So you're still thinking of me
Just like I know you should
I can not give you everything, you know I wish I could
I'm so high at the moment
I'm so caught up in this
Yeah, we're just young, dumb and broke
But we still got love to give

While we're young dumb
Young, young dumb and broke
Young dumb
Young, young dumb and broke
Young dumb
Young dumb
Young, young dumb and broke
Young dumb broke high school kids
Yadadadadadadada
Yadadadadadada
Yadadadadadadada
Young dumb broke high school kids

We have so much in common
We argue all the time
You always say I'm wrong
I'm pretty sure I'm right
What's fun about commitment?
When we have our life to live
Yeah, we're just young dumb and broke
But we still got love to give

While we're young dumb
Young, young dumb and broke
Young dumb
Young, young dumb and broke
Young dumb
Young, young dumb and broke
Young dumb broke high school kids
Yadadadadadadada
Yadadadadadada
Yadadadadadadada
Young dumb broke high school kids

Jump and we think - do it all in the name of love
Love
Run into sin, do it all in the name of fun
Fun
Whoa-oa-oa
I'm so high at the moment
I'm so caught up in this
Yeah, we're just young, dumb and broke
But we still got love to give

While we're young dumb
Young, young dumb and broke
Young dumb
Young, young dumb and broke
Young dumb
Young dumb
Young, young dumb and broke
Young dumb broke high school kids
Yadadadadadadada
Yadadadadadada
Yadadadadadadada
Young dumb broke high school kids",['Excited'],0.06,['Fast Tempo'],Young Dumb & Broke,"[('young', 38), ('dumb', 29), ('broke', 18)]"
23,Dua Lipa,0.2969,['Pop'],"(One, one, one...)

Talkin' in my sleep at night
Makin' myself crazy
(Out of my mind, out of my mind)
Wrote it down and read it out
Hopin' it would save me
(Too many times, too many times)

My love
He makes me feel like nobody else
Nobody else
But my love
He doesn't love me, so I tell myself
I tell myself

One, don't pick up the phone
You know he's only calling 'cause he's drunk and alone
Two, don't let him in
You'll have to kick him out again
Three, don't be his friend
You know you're gonna wake up in his bed in the mornin'
And if you're under him, you ain't gettin' over him

I got new rules, I count 'em
I got new rules, I count 'em
I gotta tell them to myself
I got new rules, I count 'em
I gotta tell them to myself

I keep pushin' forwards
But he keeps pullin' me backwards
(Nowhere to turn, no way)
(Nowhere to turn, no)
Now I'm standin' back from it
I finally see the pattern
(I never learn, I never learn)

But my love
He doesn't love me, so I tell myself
I tell myself
I do, I do, I do

One, don't pick up the phone
You know he's only calling 'cause he's drunk and alone
Two, don't let him in
You'll have to kick him out again
Three, don't be his friend
You know you're gonna wake up in his bed in the mornin'
And if you're under him, you ain't gettin' over him

I got new rules, I count 'em
I got new rules, I count 'em
I gotta tell them to myself
I got new rules, I count 'em
I gotta tell them to myself

Practice makes perfect
I'm still tryna learn it by heart
(I got new rules, I count 'em)
Eat, sleep, and breathe it
Rehearse and repeat it
'Cause I
(I got new, I got new, I got new...)

One, don't pick up the phone
You know he's only calling 'cause he's drunk and alone
Two, don't let him in
You'll have to kick him out again
Three, don't be his friend
You know you're gonna wake up in his bed in the mornin'
And if you're under him, you ain't gettin' over him

I've got new rules, I count 'em
I've got new rules, I count 'em
(Oh, whoa-oh)
I've gotta tell them to myself
I've got new rules, I count 'em
(Baby, you know I count 'em)
I've gotta tell them to myself

Don't let him in, don't let him in
(Don't, don't, don't, don't)
Don't be his friend, don't be his friend
(Don't, don't, don't, don't)
Don't let him in, don't let him in
(Don't, don't, don't, don't)
Don't be his friend, don't be his friend
(Don't, don't, don't, don't)
You're gettin' over him",['Sensual'],64.85,['Medium Tempo'],New Rules,"[('don', 33), ('new', 13), ('got', 13)]"
24,Halsey,0.9879,['Electronica'],"Got a boy back home in Michigan
And it tastes like Jack when I'm kissing him
So I told him that I never really liked his friends
Now he's gone and he's calling me a bitch again

It's a guy that lives in a garden state
And he told me we don't make it till we graduate
So I told him the music would be worth the wait
But he wants me in the kitchen with a dinner plate

I believe, I believe, I believe, I believe
That we're meant to be
But jealousy, jealousy, jealousy, jealousy
Get the best of me

Look, I don't mean to frustrate, but I
Always make the same mistakes, yeah I
Always make the same mistakes 'cause

I'm bad at love (ooh, ooh)
But you can't blame me for tryin'
You know I'd be lyin'
Saying you were the one (ooh, ooh)
That could finally fix me
Lookin' at my history
I'm bad at love

Got a girl with California eyes
And I thought that she could really be the one this time
But I never got the chance to make her mine
Because she fell in love with little thin white lines

Young, thin girl with an attitude
We never told no one but we look so cute
Both got way better things to do
But I always think about it when I'm riding through

I believe, I believe, I believe, I believe
That I'm in too deep
And jealousy, jealousy, jealousy, jealousy
Get the best in me

Look, I don't mean to frustrate, but I
Always make the same mistakes, yeah I
Always make the same mistakes 'cause

I'm bad at love (ooh, ooh)
But you can't blame me for tryin'
You know I'd be lyin'
Sayin' you're the one (ooh, ooh)
That could finally fix me
Lookin' at my history

I'm bad at love (ooh, ooh)
Oh, you know, you know, you know
I'm bad at love (ooh, ooh)
I'm bad at love (ooh, ooh)

I know that you're afraid
I'm gonna walk away
Each time the feeling fades
Each time the feeling fades

I know that you're afraid
I'm gonna walk away
Each time the feeling fades

You know I'm bad at love (ooh, ooh)
But you can't blame me for tryin'
You know I'd be lyin'
Sayin' you're the one (ooh, ooh)
That could finally fix me
Lookin' at my history

I'm bad at love (ooh, ooh)
Oh, you know, you know, you know, you know
I'm bad at love (ooh, ooh)
Oh, oh",['Sensual'],99.4,['Medium Tempo'],Bad At Love,"[('ooh', 22), ('know', 13), ('love', 10)]"
25,Liam Payne Featuring Quavo,0.9994,['Pop'],"Huncho
Quavo
Yo yo

You know, I've been taking some time
And I've been keeping to myself (self)
I had my eyes up on the prize
Ain't watching anybody else
But your love, it hit me hard, girl
Yeah, you're bad for my health
I love the cards, that I've been dealt
Do you feel the same as well?

You know, I used to be in 1D (now I'm out, free)
People want me for one thing (that's not me)
I'm not changing, the way, that I (used to be)
I just wanna have fun (and get rowdy)
One Coke and Bacardi (sippin' lightly)
When I walk inside the party (girls on me)
F1 type Ferrari (6 gear speed)
Girl, I love it when your body (grinds on me)
Oh yeah

You know, I love it, when the music's loud
But c'mon, strip that down for me, baby
Now there's a lot of people in the crowd
But only you can dance with me
So put your hands on my body
And swing that round for me, baby (swing)
You know, I love it when the music's loud
But c'mon, strip that down for me (yeah, yeah, yeah, yeah)
Oh, strip that down, girl
Love when you hit the ground, girl (yeah, yeah, yeah, yeah)
Oh, strip that down, girl
Love, when you hit the ground

You know, that since the day, I met you
Yeah, you swept me off my feet
You know, that I don't need no money
When your love is beside me
Yeah, you opened up my heart
And then you threw away the key
Girl, now it's just you and me
And you don't care 'bout, where I've been

You know, I used to be in 1D (now I'm out, free)
People want me for one thing (that's not me)
I'm not changing, the way that I (used to be)
I just wanna have fun (and get rowdy) (ooh)
One Coke and Bacardi (sippin' lightly)
When I walk inside the party (girls on me)
F1 type Ferrari (6 gear speed)
Girl, I love it when your body (grinds on me)
Ooh

You know, I love it, when the music's loud
But c'mon, strip that down for me, baby
Now there's a lot of people in the crowd
But only you can dance with me
So put your hands on my body
And swing that round for me, baby (yeah)
You know, I love it when the music's loud
But c'mon, strip that down for me (yeah, yeah, yeah, yeah)
Ih, strip that down, girl
Love when you hit the ground, girl (yeah, yeah, yeah, yeah) (strip that down)
Oh, strip that down, girl
Love, when you hit the ground (yeah, yeah, yeah, yeah)
Oh, strip that down, girl
Love when you hit the ground, girl (yeah, yeah, yeah, yeah) (yeah)
Oh, strip that down, girl
Love, when you hit the ground (yeah, yeah, yeah, yeah) (oh Quavo)

She gon' strip it down for a thug, yeah (strip it down)
Word around town, she got the buzz, yeah (word)
Five shots in, she in love now (shots)
I promise, when we pull up, shut the club down (hey)
I took her from her man, don't nobody know (know)
If you brought the CL, better drive slow (slow)
She know how to make me feel with my eyes closed (skrrt skrrt)
Anything goes down with the Huncho (Huncho)

You know, I love it, when the music's loud
But c'mon, strip that down for me
Now there's a lot of people in the crowd
But only you can dance with me
So put your hands on my body
And swing that round for me, baby
You know, I love it when the music's loud
But c'mon, strip that down for me (yeah, yeah, yeah, yeah)
Yeah, yeah, yeah, yeah, c'mon, strip that down for me
(Yeah, yeah, yeah, yeah) (Ay)
Don't say nothing, girl, strip that down for me (strip it down)
(Yeah, yeah, yeah, yeah)
All I want, girl, if you strip that down for me (strip it down)
(Yeah, yeah, yeah, yeah)
You're the one, girl, c'mon, strip that down for me
(Yeah, yeah, yeah, yeah)",['Cool'],99.98,['Medium Tempo'],Strip That Down,"[('yeah', 60), ('strip', 21), ('love', 18)]"
26,Post Malone,-0.9839,['Urban'],"Ooh I fall apart
Ooh yeah...

She told me that I'm not enough, yeah
And she left me with a broken heart, yeah
She fooled me twice and it's all my fault, yeah
She cut too deep, now she left me scarred, yeah
Now there's too many thoughts goin' through my brain, yeah
And now I'm takin' these shots like it's novacane, yeah

Ooh, I fall apart
Down to my core
Ooh, I fall apart
Down to my core
Ooh, didn't know it before
Surprised when you caught me off guard
Hard as damn jewelry I bought
You was my shorty, I thought

Never caught a feelin' this hard
Harder than the liquor I pour
Tell me you don't want me no more
But I can't let go
Everybody told me so
Feelin' like I sold my soul
Devil in the form of a whore
Devil in the form of a whore
You said it
No you said it
No you said it
We'd be together

Ooh, I fall apart
Down to my core
Ooh, I fall apart
Down to my core
Ooh, didn't know it before
Surprised when you caught me off guard
Hard as damn jewelry I bought
You was my shorty, I thought

Ice keep pourin' and the drink keep flowin'
Try to brush it off but it keep on goin'
Covered in scars and I can't help showin'
Whippin' in the foreign and the tears keep blowin'
Ice keep droppin' and the drink keep flowin'
Try to brush it off but it keep on goin'
All these scars, can't help showin'
Whippin' in the foreign and the tears keep blowin', yeah

Ooh, I fall apart
Down to my core
Ooh, I fall apart
Down to my core
Ooh, didn't know it before
Surprised when you caught me off guard
Hard as damn jewelry I bought
You was my shorty, I thought",['Sensual'],0.79,['Slow Tempo'],I Fall Apart,"[('ooh', 11), ('keep', 8), ('yeah', 8)]"
27,Shawn Mendes,-0.6834,['Pop'],"I wanna follow her where she goes
I think about her and she knows it
I wanna let it take control
'Cause every time that she gets closer

She pulls me in enough to keep me guessing
And maybe I should stop and start confessing
Confessing

Oh, I've been shaking
I love you when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
There's nothing holding me back

She says that she is never afraid
Just picture everybody naked
She really doesn't like to wait
Not really into hesitation

Pulls me in enough to keep me guessing
And maybe I should stop and start confessing
Confessing

Oh, I've been shaking
I love you when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
There's nothing holding me back

'Cause if we lost our minds and we took it way too far
I know we'd be all right, I know we'd be all right
If you are by my side and we stumbled in the dark
I know we'd be all right, I know we'd be all right
'Cause if we lost our minds and we took it way too far
I know we'd be all right, I know we'd be all right
If you are by my side and we stumbled in the dark
I know we'd be all right, I know we'd be all right

Oh, I've been shaking
I love you when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
I feel so free when you're with me, baby
Baby, there's nothing holding me back",['Rowdy'],15.82,['Medium Tempo'],There's Nothing Holdin' Me Back,"[('back', 12), ('holding', 12), ('nothing', 12)]"
28,Kesha,0.9982,['Pop'],"Well, you almost had me fooled
Told me that I was nothing without you
Oh, but after everything you've done
I can thank you for how strong I have become

'Cause you brought the flames and you put me through hell
I had to learn how to fight for myself
And we both know all the truth I could tell
I'll just say this is I wish you farewell

I hope you're somewhere praying, praying
I hope your soul is changing, changing
I hope you find your peace
Falling on your knees, praying

I'm proud of who I am
No more monsters, I can breathe again
And you said that I was done
Well, you were wrong and now the best is yet to come
'Cause I can make it on my own
And I don't need you, I found a strength I've never known
I've been thrown out, I've been burned
When I'm finished, they won't even know your name

You brought the flames and you put me through hell
I had to learn how to fight for myself
And we both know all the truth I could tell
I'll just say this is I wish you farewell

I hope you're somewhere praying, praying
I hope your soul is changing, changing
I hope you find your peace
Falling on your knees, praying

Oh, sometimes, I pray for you at night
Someday, maybe you'll see the light
Oh, some say, in life, you're gonna get what you give
But some things only God can forgive

I hope you're somewhere praying, praying
I hope your soul is changing, changing
I hope you find your peace
Falling on your knees, praying",['Empowering'],99.92,['Slow Tempo'],Praying,"[('praying', 9), ('hope', 9), ('changing', 6)]"
29,Niall Horan,-0.8891,['Pop'],"We should take this back to my place
That's what she said right to my face
'Cause I want you bad, yeah I want you baby
I've been thinking 'bout it all day
And I hope you feel the same, babe (yeah)
'Cause I want you bad, yeah I want you baby

Slow, slow hands
Like sweat dripping down our dirty laundry
No, no chance
That I'm leaving here without you on me
I know, yeah, I already know that there ain't no stopping
Your plans involves slow hands (woo)
Slow hands

I just wanna take my time
We could do this baby, all night (yeah)
'Cause I want you bad, yeah I want you baby

Slow, slow hands
Like sweat dripping down our dirty laundry
No, no chance
That I'm leaving here without you on me
I know, yeah, I already know that there ain't no stopping
Your plans involves slow hands (woo)

Fingertips putting on a show
Got me now and I can't say no
Wanna be with you all alone
Take me home, take me home
Fingertips putting on a show
Can't you tell that I want you baby (yeah)

Slow, slow hands
Like sweat dripping down our dirty laundry
No, no chance
That I'm leaving here without you on me
I know, yeah, I already know that there ain't no stopping
Slow, slow hands
Like sweat dripping down our dirty laundry
No, no chance
That I'm leaving without you
I know, yeah, I already know that there ain't no stopping
Your plans involves slow hands (woo)
Slow hands, slow hands",['Cool'],5.53,['Medium Tempo'],Slow Hands,"[('slow', 14), ('hands', 10), ('yeah', 10)]"
30,Bruno Mars,0.9984,['Pop'],"I got a condo in Manhattan
Baby girl, what's hatnin'?
You and your ass invited
So gon' and get to clappin'

So pop it for a pimp
Pop, pop it for me
Turn around and drop it for a pimp
Drop, drop it for me

I'll rent a beach house in Miami
Wake up with no jammies
Lobster tail for dinner
Julio serve that scampi

You got it if you want it
Got, got it if you want it
Said you got it if you want it
Take my wallet if you want it now

Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

I'm talkin' trips to Puerto Rico
Say the word and we go
You can be my freaka
Girl, I'll be on fleek, ah, mamacita
I will never make a promise that I can't keep
I promise that you'll smile and gon' never leave

Shopping sprees in Paris
Everything 24 carats
Take a look in that mirror
Now tell me who's the fairest
Is it you? (is it you?) Is it me? (is it me?)
Say it's us (say it's us) and I'll agree, baby

Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

If you say you want a good time
Well here I am baby, here I am baby
Talk to me, talk to me, talk to me
Tell me what's on your mind

If you want it, girl come and get it
All this is here for you
Tell me baby, tell me, tell me baby
What you tryna do

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like",['Energizing'],99.93,['Fast Tempo'],That's What I Like,"[('like', 24), ('lucky', 12), ('want', 8)]"
31,Taylor Swift,-0.9543,['Pop'],"I don't like your little games
Don't like your tilted stage
The role you made me play
Of the fool, no, I don't like you

I don't like your perfect crime
How you laugh when you lie
You said the gun was mine
Isn't cool, no, I don't like you (oh)

But I got smarter, I got harder in the nick of time
Honey, I rose up from the dead, I do it all the time
I've got a list of names and yours is in red, underlined
I check it once, then I check it twice, oh

Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me

Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do

I don't like your kingdom keys
They once belonged to me
You ask me for a place to sleep
Locked me out and threw a feast (what?)

The world moves on, another day, another drama, drama
But not for me, not for me, all I think about is karma
And then the world moves on, but one thing's for sure
Maybe I got mine, but you'll all get yours

But I got smarter, I got harder in the nick of time
Honey, I rose up from the dead, I do it all the time
I've got a list of names and yours is in red, underlined
I check it once, then I check it twice, oh

Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me

Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do

I don't trust nobody and nobody trusts me
I'll be the actress starring in your bad dreams
I don't trust nobody and nobody trusts me
I'll be the actress starring in your bad dreams

I don't trust nobody and nobody trusts me
I'll be the actress starring in your bad dreams
I don't trust nobody and nobody trusts me
I'll be the actress starring in your bad dreams

(Ooh, look what you made me do)
(Look what you made me do)
""I'm sorry, the old Taylor can't come to the phone right now""
""Why?""
""Oh, 'cause she's dead!"" (oh)

Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me

Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do

Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me

Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do",['Energizing'],2.27,['Medium Tempo'],Look What You Made Me Do,"[('made', 35), ('look', 34), ('just', 16)]"
32,Kane Brown Featuring Lauren Alaina,0.9773,['Traditional'],"You say what if I hurt you, what if I leave you
What if I find somebody else and I don't need you?
What if this goes south, what if I mess you up?
You say what if I break your heart in two, then what?

Well I hear you girl, I feel you girl, but not so fast
Before you make your mind up, I gotta ask

What if I was made for you and you were made for me?
What if this is it, what if it's meant to be?
What if I ain't one of them fools just playin' some game?
What if I just pull you close, what if I lean in?
And the stars line up, and it's our last first kiss
What if one of these days, baby, I go and change your name?
What if I loved all these what ifs away?

What if the sky falls (sky falls)
Or the sun stops burnin'?
We could worry about them what ifs 'til the world stops turnin'?
Or I could kiss you (you should kiss me)
What if you liked it? (bet I'd like it)
Well we ain't never gonna know unless we try it

What if I was made for you and you were made for me?
What if this is it, what if it's meant to be?
What if I ain't one of them fools just playin' some game?
What if I just pull you close, what if I lean in?
And the stars line up, and it's our last first kiss
What if one of these days baby, I go and change your name?
What if I loved all these what ifs away?
Awe yeah
C'mon

You say what if I hurt you, what if I leave you?
What if I find somebody else and I don't need you?
Damn

What if I was made for you and you were made for me?
What if this is it, what if it's meant to be?
What if I ain't one of them fools just playin' some game?
What if I just pull you close, what if I lean in?
And the stars line up, and it's our last first kiss
What if one of these days baby, I go and change your name?
What if I loved all these what ifs away?

Away (away)
What if?",['Excited'],98.87,['Medium Tempo'],What Ifs,"[('just', 6), ('one', 6), ('made', 6)]"
33,Luke Combs,0.9676,['Traditional'],"Sunday morning, man, she woke up fighting mad
Bitching and moaning on and on 'bout the time I had
And by Tuesday, you could say that girl was good as gone
Then when Thursday came around, I was all alone

So I went for a drive to clear my mind, ended up at a Shell on I-65

Then I won a hundred bucks on a scratch off ticket
Bought two twelve packs and a tank of gas with it
She swore they were a waist of time, oh, but she was wrong
I was caller number 5 on a radio station, won a 4-day, 3-night, beach vacation
Deep sea, senorita, fishing down in Panama
And I ain't gotta see my ex future mother-in-law anymore
Oh lord, when it rains it pours
When it rains it pours

Now she was sure real quick to up and apologize
When she heard about my new found luck on that FM dial
And it's crazy how this now just seems to come in when
What I thought was gonna be the death of me was my saving grace

It's got me thinking that her leaving is the only logical reason

That I got the last spot in the Hooter's parking lot
And the waitress left her number on my check with a heart
She picked up on the first ring when I gave her a call
And I only spent five bucks at the Moose Club Raffle
Won a used four-wheeler and three free passes
For me and two of my buddies to play a round of golf
And I ain't gotta see my ex future mother-in-law anymore
Oh lord, when it rains it pours
When it rains it pours

Well I've been on a hell of a redneck road for three weeks now
And it all started on the day that she walked out

Then I won a hundred bucks on a scratch off ticket
Bought two twelve packs and a tank of gas with it
She swore they were a waist of time, oh, but she was wrong
I was caller number 5 on a radio station, won a 4-day, 3-night, beach vacation
Deep sea, senorita, fishing down in Panama
And I ain't gotta see my ex future mother-in-law anymore
Oh lord, when it rains it pours
When it rains it pours",[],98.39,[],When It Rains It Pours,"[('pours', 6), ('rains', 6), ('won', 5)]"
34,DJ Khaled Featuring Rihanna & Bryson Tiller,0.9466,['Urban'],"DJ Khaled
Another one!
We the Best Music! DJ Khaled!

Rihanna
I don't know if you could take it
Know you wanna see me nakey, nakey, naked
I wanna be your baby, baby, baby
Spinning and it's wet just like it came from Maytag

White girl wasted on that brown liquor
When I get like this I can't be around you
I'm too lit to dim down a notch
'Cause I could name some things that I'm gon' do

Wild, wild, wild
Wild, wild, wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts!
Wild, wild, wild
When I'm with you, all I get is wild thoughts!

DJ Khaled
Let's go!

Rihanna
I hope you know I'm for the takin'
You know this cookie is for the baking (ugh!)
Kitty, kitty, baby give that thing some rest
'Cause you don't beat it like the '68 Jets

Diamonds ain't nothing when I'm rockin' with ya
Diamonds ain't nothing when I'm shinin' with ya
Just keep it white and black as if I'm your sista
I'm too hip to hop around town out here with ya

I know I get...
Wild, wild, wild
Wild, wild, wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts!
Wild, wild, wild
When I'm with you, all I get is wild thoughts!

Bryson Tiller
Ay! Uh, uh!

I heard that pussy for the taking
I heard it got these other niggas goin' crazy
Yeah I treat you like a lady, lady
Fuck you till you're burned out, cremation

Make it cream, yeah, Wu-Tang
Throw that ass back, bouquet
Call me and I can get it juicy
I can tell you're gone off the D'usse

Careful, Momma, watch what you say
You talking to me like your new bae
Girl, talking to me like you tryna do things
Now that pipe got her running like she Usain, baby

You made me drown in it, touche, baby
I'm carrying that water, Bobby Boucher, baby
You know I'ma slaughter like I'm Jason
Bust it, why you got it on safety?

White girl wasted on brown liquor
I probably shouldn't be around you
'Cause you get wild, wild, wild
You looking like there's nothing that you won't do
Ay, girl that's when I told you...

Rihanna
When I'm with you, all I get is wild thoughts!
Wild, wild, wild
Wild, wild, wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts!
Wild, wild, wild
When I'm with you, all I get is wild thoughts!

DJ Khaled
(Echoing): 
DJ Khaled!

Rihanna
Wild, wild, wild
Wild, wild, wild
When I'm with you, all I get is wild thoughts!",[],97.34,[],Wild Thoughts,"[('wild', 53), ('get', 12), ('thoughts', 11)]"
